Boro,M,avg_traffic,avg_nb_measurements
Manhattan,1,14233.356770833334,120.75
Bronx,1,10191.90625,115.0
Brooklyn,1,6248.865384615385,88.3076923076923
Queens,1,2121.4417344173444,30.471544715447155
Queens,2,9876.83014354067,190.32535885167465
Manhattan,2,5829.142857142857,28.0
Brooklyn,2,4560.297362110312,63.302158273381295
Staten Island,2,607.0,23.446153846153845
Brooklyn,3,7153.720682302772,164.03837953091684
Manhattan,3,3076.008333333333,22.2
Bronx,3,2469.8885542168673,42.01807228915663
Staten Island,3,1246.0259541984733,7.312977099236641
Queens,3,1009.7861111111112,36.772222222222226
Queens,4,22049.223958333332,181.07986111111111
Brooklyn,4,10710.409722222223,126.86631944444444
Bronx,4,9738.225988700566,124.17372881355932
Manhattan,4,2170.34649122807,23.157894736842106
Staten Island,4,581.6240249609984,6.21996879875195
Queens,5,12970.751344086022,111.61827956989248
Bronx,5,8104.1292517006805,87.63265306122449
Brooklyn,5,3035.9153225806454,49.07795698924731
Manhattan,5,3019.587962962963,44.469907407407405
Staten Island,5,754.6096033402923,14.749478079331942
Queens,6,35029.24486803519,198.80791788856305
Bronx,6,24079.47048611111,116.96180555555556
Brooklyn,6,12243.173611111111,133.30902777777777
Manhattan,6,9863.263888888889,114.10069444444444
Staten Island,6,2085.9982638888887,40.5
Bronx,7,701.6808510638298,7.904255319148936
Brooklyn,7,409.26453488372096,13.616279069767442
Queens,7,239.0391061452514,10.759776536312849
Bronx,8,431.9191919191919,11.808080808080808
Queens,8,397.7079646017699,11.216814159292035
Brooklyn,8,329.21153846153845,10.993589743589743
Manhattan,9,4246.447115384615,31.224358974358974
Bronx,9,2688.775,7.85
Queens,9,1961.5862068965516,43.310344827586206
Brooklyn,9,1337.7604166666667,19.84375
Staten Island,9,238.39285714285714,8.0
Manhattan,10,51276.396505376346,345.7190860215054
Brooklyn,10,12546.910714285714,169.36904761904762
Bronx,10,4732.061674008811,70.02496328928046
Queens,10,1417.5378787878788,26.727272727272727
Staten Island,10,696.0462962962963,32.666666666666664
Brooklyn,11,36383.482142857145,545.9583333333334
Manhattan,11,16184.983833718245,147.22401847575057
Queens,11,15655.666666666666,179.33333333333334
Bronx,11,6978.933333333333,69.28
Brooklyn,12,2105.6182795698924,30.301075268817204
Queens,12,202.36309523809524,16.0
